tamanho_vetor,tipo_dados,algoritmo,tempo_execucao
1000,ALEATORIOS,BUBBLE_SORT,0:00:00.117358
1000,ALEATORIOS,BUBBLE_SORT_OTIMIZADO,0:00:00.040728
1000,ALEATORIOS,SELECAO,0:00:00.014807
1000,ALEATORIOS,INSERCAO,0:00:00.017554
1000,ALEATORIOS,MERGE_SORT,0:00:00.001236
1000,ALEATORIOS,QUICK_SORT,0:00:00.000882
10000,ALEATORIOS,BUBBLE_SORT,0:00:05.646937
10000,ALEATORIOS,BUBBLE_SORT_OTIMIZADO,0:00:03.498169
10000,ALEATORIOS,SELECAO,0:00:01.360008
10000,ALEATORIOS,INSERCAO,0:00:01.817767
10000,ALEATORIOS,MERGE_SORT,0:00:00.015096
10000,ALEATORIOS,QUICK_SORT,0:00:00.010627
100000,ALEATORIOS,BUBBLE_SORT,0:08:11.578768
100000,ALEATORIOS,BUBBLE_SORT_OTIMIZADO,0:05:01.016406
100000,ALEATORIOS,SELECAO,0:02:00.383480
100000,ALEATORIOS,INSERCAO,0:02:28.855470
100000,ALEATORIOS,MERGE_SORT,0:00:00.153809
100000,ALEATORIOS,QUICK_SORT,0:00:00.100231
1000,ALEATORIOS,BUBBLE_SORT,0:00:00.049258
1000,ALEATORIOS,BUBBLE_SORT_OTIMIZADO,0:00:00.026322
1000,ALEATORIOS,SELECAO,0:00:00.011810
1000,ALEATORIOS,INSERCAO,0:00:00.013835
1000,ALEATORIOS,MERGE_SORT,0:00:00.000974
1000,ALEATORIOS,QUICK_SORT,0:00:00.000706
10000,ALEATORIOS,BUBBLE_SORT,0:00:04.623223
10000,ALEATORIOS,BUBBLE_SORT_OTIMIZADO,0:00:02.807201
10000,ALEATORIOS,SELECAO,0:00:01.092728
10000,ALEATORIOS,INSERCAO,0:00:01.462000
10000,ALEATORIOS,MERGE_SORT,0:00:00.012440
10000,ALEATORIOS,QUICK_SORT,0:00:00.008313
100000,ALEATORIOS,BUBBLE_SORT,0:08:08.251894
100000,ALEATORIOS,BUBBLE_SORT_OTIMIZADO,0:04:56.288050
100000,ALEATORIOS,SELECAO,0:01:57.107061
100000,ALEATORIOS,INSERCAO,0:02:31.477951
100000,ALEATORIOS,MERGE_SORT,0:00:00.159058
100000,ALEATORIOS,QUICK_SORT,0:00:00.103010
1000,ALEATORIOS,BUBBLE_SORT,0:00:00.047991
1000,ALEATORIOS,BUBBLE_SORT_OTIMIZADO,0:00:00.026133
1000,ALEATORIOS,SELECAO,0:00:00.012400
1000,ALEATORIOS,INSERCAO,0:00:00.014076
1000,ALEATORIOS,MERGE_SORT,0:00:00.001011
1000,ALEATORIOS,QUICK_SORT,0:00:00.000676
10000,ALEATORIOS,BUBBLE_SORT,0:00:04.671454
10000,ALEATORIOS,BUBBLE_SORT_OTIMIZADO,0:00:02.841366
10000,ALEATORIOS,SELECAO,0:00:01.099098
10000,ALEATORIOS,INSERCAO,0:00:01.481627
10000,ALEATORIOS,MERGE_SORT,0:00:00.012174
10000,ALEATORIOS,QUICK_SORT,0:00:00.008647
100000,ALEATORIOS,BUBBLE_SORT,0:08:11.354057
100000,ALEATORIOS,BUBBLE_SORT_OTIMIZADO,0:04:51.998761
100000,ALEATORIOS,SELECAO,0:01:58.766664
100000,ALEATORIOS,INSERCAO,0:02:30.997403
100000,ALEATORIOS,MERGE_SORT,0:00:00.157555
100000,ALEATORIOS,QUICK_SORT,0:00:00.102351
1000,ALEATORIOS,BUBBLE_SORT,0:00:00.044373
1000,ALEATORIOS,BUBBLE_SORT_OTIMIZADO,0:00:00.025745
1000,ALEATORIOS,SELECAO,0:00:00.012052
1000,ALEATORIOS,INSERCAO,0:00:00.013353
1000,ALEATORIOS,MERGE_SORT,0:00:00.001024
1000,ALEATORIOS,QUICK_SORT,0:00:00.000660
10000,ALEATORIOS,BUBBLE_SORT,0:00:04.620379
10000,ALEATORIOS,BUBBLE_SORT_OTIMIZADO,0:00:02.827324
10000,ALEATORIOS,SELECAO,0:00:01.121567
10000,ALEATORIOS,INSERCAO,0:00:01.467978
10000,ALEATORIOS,MERGE_SORT,0:00:00.012945
10000,ALEATORIOS,QUICK_SORT,0:00:00.008378
100000,ALEATORIOS,BUBBLE_SORT,0:08:15.830973
100000,ALEATORIOS,BUBBLE_SORT_OTIMIZADO,0:04:57.732754
100000,ALEATORIOS,SELECAO,0:01:59.502600
100000,ALEATORIOS,INSERCAO,0:02:32.411464
100000,ALEATORIOS,MERGE_SORT,0:00:00.155519
100000,ALEATORIOS,QUICK_SORT,0:00:00.108426
1000,ALEATORIOS,BUBBLE_SORT,0:00:00.044843
1000,ALEATORIOS,BUBBLE_SORT_OTIMIZADO,0:00:00.027667
1000,ALEATORIOS,SELECAO,0:00:00.012118
1000,ALEATORIOS,INSERCAO,0:00:00.014186
1000,ALEATORIOS,MERGE_SORT,0:00:00.001013
1000,ALEATORIOS,QUICK_SORT,0:00:00.000659
10000,ALEATORIOS,BUBBLE_SORT,0:00:04.215251
10000,ALEATORIOS,BUBBLE_SORT_OTIMIZADO,0:00:02.660822
10000,ALEATORIOS,SELECAO,0:00:01.017845
10000,ALEATORIOS,INSERCAO,0:00:01.310290
10000,ALEATORIOS,MERGE_SORT,0:00:00.012037
10000,ALEATORIOS,QUICK_SORT,0:00:00.007762
100000,ALEATORIOS,BUBBLE_SORT,0:07:06.467302
100000,ALEATORIOS,BUBBLE_SORT_OTIMIZADO,0:04:29.465429
100000,ALEATORIOS,SELECAO,0:01:43.422935
100000,ALEATORIOS,INSERCAO,0:02:12.654318
100000,ALEATORIOS,MERGE_SORT,0:00:00.147306
100000,ALEATORIOS,QUICK_SORT,0:00:00.101520
1000,ORDEM_CRESC,BUBBLE_SORT,0:00:00.032620
