operacao;algoritmo;tempo_execucao
INSERCAO;ARVORE_BUSCA_BINARIA;6.372288
INSERCAO;ARVORE_BUSCA_BINARIA;6.427014
INSERCAO;ARVORE_BUSCA_BINARIA;6.277083
INSERCAO;ARVORE_BUSCA_BINARIA;6.256221
INSERCAO;ARVORE_BUSCA_BINARIA;6.290096
INSERCAO;ARVORE_BUSCA_BINARIA;6.197653
INSERCAO;ARVORE_BUSCA_BINARIA;6.208546
INSERCAO;ARVORE_BUSCA_BINARIA;6.218819
INSERCAO;ARVORE_BUSCA_BINARIA;6.191337
INSERCAO;ARVORE_BUSCA_BINARIA;6.277498
INSERCAO;AVL;0.350988
INSERCAO;AVL;0.32857
INSERCAO;AVL;0.399359
INSERCAO;AVL;0.32039
INSERCAO;AVL;0.317458
INSERCAO;AVL;0.316856
INSERCAO;AVL;0.335235
INSERCAO;AVL;0.317986
INSERCAO;AVL;0.317744
INSERCAO;AVL;0.319199
BUSCA;ARVORE_BUSCA_BINARIA;5.006362
BUSCA;ARVORE_BUSCA_BINARIA;5.02225
BUSCA;ARVORE_BUSCA_BINARIA;5.328004
BUSCA;ARVORE_BUSCA_BINARIA;5.112613
BUSCA;ARVORE_BUSCA_BINARIA;5.158997
BUSCA;ARVORE_BUSCA_BINARIA;5.214149
BUSCA;ARVORE_BUSCA_BINARIA;5.313096
BUSCA;ARVORE_BUSCA_BINARIA;5.049662
BUSCA;ARVORE_BUSCA_BINARIA;5.238251
BUSCA;ARVORE_BUSCA_BINARIA;5.315794
BUSCA;AVL;0.00888514518737793
BUSCA;AVL;0.008956670761108398
BUSCA;AVL;0.007239818572998047
BUSCA;AVL;0.007511615753173828
BUSCA;AVL;0.006867408752441406
BUSCA;AVL;0.006880521774291992
BUSCA;AVL;0.006912708282470703
BUSCA;AVL;0.006844282150268555
BUSCA;AVL;0.006733894348144531
BUSCA;AVL;0.006699562072753906
INSERCAO;ARVORE_BUSCA_BINARIA;6.314729
